"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2021 18:00 - 03/01/2021 18:15","BZN|NL","14826.24","14852.73"
"03/01/2021 18:15 - 03/01/2021 18:30","BZN|NL","14649.86","14435.26"
"03/01/2021 18:30 - 03/01/2021 18:45","BZN|NL","14519.11","14355.34"
"03/01/2021 18:45 - 03/01/2021 19:00","BZN|NL","14374.34","14223.62"
"03/01/2021 19:00 - 03/01/2021 19:15","BZN|NL","14279.54","14112.15"
"03/01/2021 19:15 - 03/01/2021 19:30","BZN|NL","14094.56","14017.75"
"03/01/2021 19:30 - 03/01/2021 19:45","BZN|NL","13990.97","13926.22"
"03/01/2021 19:45 - 03/01/2021 20:00","BZN|NL","13900.82","13822.58"
"03/01/2021 20:00 - 03/01/2021 20:15","BZN|NL","13705.79","13719.63"
"03/01/2021 20:15 - 03/01/2021 20:30","BZN|NL","13580.30","13655.89"
"03/01/2021 20:30 - 03/01/2021 20:45","BZN|NL","13338.68","13542.31"
"03/01/2021 20:45 - 03/01/2021 21:00","BZN|NL","13187.79","13379.26"
"03/01/2021 21:00 - 03/01/2021 21:15","BZN|NL","12987.03","13228.70"
"03/01/2021 21:15 - 03/01/2021 21:30","BZN|NL","12859.35","13097.16"
"03/01/2021 21:30 - 03/01/2021 21:45","BZN|NL","12692.40","12986.10"
"03/01/2021 21:45 - 03/01/2021 22:00","BZN|NL","12594.97","12884.08"
"03/01/2021 22:00 - 03/01/2021 22:15","BZN|NL","12433.34","12799.22"
"03/01/2021 22:15 - 03/01/2021 22:30","BZN|NL","12260.10","12701.35"
"03/01/2021 22:30 - 03/01/2021 22:45","BZN|NL","12075.13","12562.36"
"03/01/2021 22:45 - 03/01/2021 23:00","BZN|NL","11895.55","12389.73"
"03/01/2021 23:00 - 03/01/2021 23:15","BZN|NL","11768.81","12271.13"
"03/01/2021 23:15 - 03/01/2021 23:30","BZN|NL","11613.08","12194.95"
"03/01/2021 23:30 - 03/01/2021 23:45","BZN|NL","11408.05","12071.17"
"03/01/2021 23:45 - 04/01/2021 00:00","BZN|NL","11200.89","11912.34"
"04/01/2021 00:00 - 04/01/2021 00:15","BZN|NL","11151.97","11826.98"
"04/01/2021 00:15 - 04/01/2021 00:30","BZN|NL","11126.33","11893.84"
"04/01/2021 00:30 - 04/01/2021 00:45","BZN|NL","11068.42","11916.05"
"04/01/2021 00:45 - 04/01/2021 01:00","BZN|NL","10932.81","11822.15"
"04/01/2021 01:00 - 04/01/2021 01:15","BZN|NL","10891.10","11697.69"
"04/01/2021 01:15 - 04/01/2021 01:30","BZN|NL","10818.15","11696.05"
"04/01/2021 01:30 - 04/01/2021 01:45","BZN|NL","10791.06","11676.90"
"04/01/2021 01:45 - 04/01/2021 02:00","BZN|NL","10717.03","11635.05"
