event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-10 18:00:00,NL,6.028076,3.089045,-2.0977118,102343.78
2020-01-10 19:00:00,NL,5.548126,3.135983,-1.0583671,102422.33
2020-01-10 20:00:00,NL,5.2239685,3.0701964,-0.10645957,102510.52
2020-01-10 21:00:00,NL,4.9111023,3.4383948,0.6964814,102557.77
2020-01-10 22:00:00,NL,4.8544617,3.9702148,1.1726946,102652.47
2020-01-10 23:00:00,NL,4.8628235,3.9309483,1.9981742,102696.73
2020-01-11 00:00:00,NL,4.8827515,3.909122,2.7455688,102688.1
2020-01-11 01:00:00,NL,4.9048767,3.6450076,3.6533208,102677.33
2020-01-11 02:00:00,NL,5.022949,3.604694,4.2362905,102670.25
2020-01-11 03:00:00,NL,5.1035156,3.8885283,4.3752236,102712.875
2020-01-11 04:00:00,NL,5.159363,3.3434482,4.921495,102678.79
2020-01-11 05:00:00,NL,5.160919,2.9726388,5.542722,102615.42
2020-01-11 06:00:00,NL,5.124054,3.0411792,5.907882,102605.88
2020-01-11 07:00:00,NL,5.0589905,3.135323,6.296932,102572.305
2020-01-11 08:00:00,NL,5.216614,3.2085154,6.780873,102553.87
2020-01-11 09:00:00,NL,5.5299377,3.2277553,7.1764517,102541.25
2020-01-11 10:00:00,NL,5.889618,3.484036,7.2272196,102535.09
2020-01-11 11:00:00,NL,6.3190613,3.4835167,7.508207,102474.984
2020-01-11 12:00:00,NL,6.687866,3.7072053,7.7524276,102399.04
2020-01-11 13:00:00,NL,6.9715576,3.8855014,7.6815925,102332.06
2020-01-11 14:00:00,NL,7.119507,4.4406924,7.909228,102275.05
2020-01-11 15:00:00,NL,7.1459656,4.5882215,7.657727,102243.66
2020-01-11 16:00:00,NL,7.024719,4.5695195,7.6905146,102203.71
2020-01-11 17:00:00,NL,6.996582,4.7524686,7.747462,102172.01
2020-01-11 18:00:00,NL,6.966919,4.889614,7.784732,102151.07
2020-01-11 19:00:00,NL,6.953705,5.0019,7.8088493,102126.37
2020-01-11 20:00:00,NL,6.907074,5.112772,7.8272963,102078.58
2020-01-11 21:00:00,NL,6.8466187,5.2831655,7.7948203,102018.78
2020-01-11 22:00:00,NL,6.738159,5.467818,7.582496,101976.97
2020-01-11 23:00:00,NL,6.65448,5.4290385,7.5139823,101945.16
2020-01-12 00:00:00,NL,6.565613,5.4563246,7.429713,101860.414
2020-01-12 01:00:00,NL,6.4477234,5.437171,7.263241,101816.45
2020-01-12 02:00:00,NL,6.367737,5.254033,7.183831,101776.08
2020-01-12 03:00:00,NL,6.2834167,5.1407204,7.1971154,101746.16
2020-01-12 04:00:00,NL,6.225708,4.936718,7.3059645,101681.98
2020-01-12 05:00:00,NL,6.182678,4.7692394,7.429175,101627.62
2020-01-12 06:00:00,NL,6.1777954,4.739268,7.4755163,101569.62
2020-01-12 07:00:00,NL,6.2864685,4.7538357,7.5142374,101510.32
2020-01-12 08:00:00,NL,6.3972473,4.886354,7.6378865,101463.2
2020-01-12 09:00:00,NL,6.716522,5.1588407,7.8063865,101426.35
